episode,step,reward,epsilon,vehicle_location_edge_id,destination_edge_id,out_lanes,action_chosen,best_choice,q_values,stage,done
0,1,-0.02,1,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,10e,,pickup,0
0,2,0.025,1,10e,21n,"{'r': '14s', 'l': '7n', 't': '10w'}",t,9w,,pickup,0
0,3,-0.15,1,10w,21n,"{'r': '6n', 's': '9w', 'l': '13s', 't': '10e'}",s,9w,,done,1
1,1,-0.02,0.999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,6n,,pickup,0
1,2,0,0.999,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",l,6n,,pickup,0
1,3,-0.02,0.999,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",r,3e,,pickup,0
1,4,0.025,0.999,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",l,10e,,pickup,0
1,5,-0.02,0.999,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",l,2w,,pickup,0
1,6,0.025,0.999,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",s,13s,,pickup,0
1,7,-0.02,0.999,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",r,3e,,pickup,0
1,8,0.025,0.999,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",t,6n,,pickup,0
1,9,-0.15,0.999,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",s,6n,,done,1
2,1,-0.02,0.998001,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9w,,pickup,0
2,2,-0.02,0.998001,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
2,3,0.025,0.998001,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9e,,pickup,0
2,4,-0.02,0.998001,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
2,5,-0.02,0.998001,5n,21n,"{'r': '2e', 'l': '1w', 't': '5s'}",r,5n,,pickup,0
2,6,-0.15,0.998001,5s,21n,"{'r': '8w', 's': '12s', 'l': '9e', 't': '5n'}",s,5n,,done,1
3,1,-0.02,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9w,,pickup,0
3,2,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
3,3,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9e,,pickup,0
3,4,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
3,5,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,5n,,pickup,0
3,6,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",s,10e,,pickup,0
3,7,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,5n,,pickup,0
3,8,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
3,9,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
3,10,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",s,10e,,pickup,0
3,11,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,8w,,pickup,0
3,12,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",l,6n,,pickup,0
3,13,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
3,14,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
3,15,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,8w,,pickup,0
3,16,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",l,6n,,pickup,0
3,17,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,5n,,pickup,0
3,18,-0.02,0.997002999,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
3,19,0.025,0.997002999,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9e,,pickup,0
3,20,0,0.997002999,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",r,13s,,pickup,0
3,21,-0.15,0.997002999,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",t,13s,,done,1
4,1,-0.02,0.996005996001,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,6n,,pickup,0
4,2,0,0.996005996001,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",s,10e,,pickup,0
4,3,-0.02,0.996005996001,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",r,3e,,pickup,0
4,4,0.025,0.996005996001,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",s,13s,,pickup,0
4,5,-0.02,0.996005996001,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",t,6s,,pickup,0
4,6,0,0.996005996001,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,9w,,pickup,0
4,7,0.025,0.996005996001,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,5n,,pickup,0
4,8,-0.02,0.996005996001,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",s,10e,,pickup,0
4,9,0.025,0.996005996001,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,10,-0.02,0.996005996001,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
